min_train_loss=0.212, at batch_size=256, rnn_size=300, embed_dim=100, keep_prob=0.9, num_layers=1
min_train_loss=0.182, at batch_size=256, rnn_size=300, embed_dim=100, keep_prob=1, num_layers=1
min_train_loss=0.447, at batch_size=256, rnn_size=300, embed_dim=200, keep_prob=0.7, num_layers=1
min_train_loss=0.373, at batch_size=256, rnn_size=300, embed_dim=200, keep_prob=0.8, num_layers=1
min_train_loss=0.203, at batch_size=256, rnn_size=300, embed_dim=200, keep_prob=0.9, num_layers=1
min_train_loss=0.181, at batch_size=256, rnn_size=300, embed_dim=200, keep_prob=1, num_layers=1
min_train_loss=0.461, at batch_size=256, rnn_size=300, embed_dim=300, keep_prob=0.7, num_layers=1
min_train_loss=0.344, at batch_size=256, rnn_size=300, embed_dim=300, keep_prob=0.8, num_layers=1
min_train_loss=0.200, at batch_size=256, rnn_size=300, embed_dim=300, keep_prob=0.9, num_layers=1
min_train_loss=0.181, at batch_size=256, rnn_size=300, embed_dim=300, keep_prob=1, num_layers=1
min_train_loss=0.453, at batch_size=256, rnn_size=400, embed_dim=100, keep_prob=0.7, num_layers=1
min_train_loss=0.311, at batch_size=256, rnn_size=400, embed_dim=100, keep_prob=0.8, num_layers=1
min_train_loss=0.199, at batch_size=256, rnn_size=400, embed_dim=100, keep_prob=0.9, num_layers=1
min_train_loss=0.183, at batch_size=256, rnn_size=400, embed_dim=100, keep_prob=1, num_layers=1
min_train_loss=0.408, at batch_size=256, rnn_size=400, embed_dim=200, keep_prob=0.7, num_layers=1
min_train_loss=0.303, at batch_size=256, rnn_size=400, embed_dim=200, keep_prob=0.8, num_layers=1
min_train_loss=0.189, at batch_size=256, rnn_size=400, embed_dim=200, keep_prob=0.9, num_layers=1
min_train_loss=0.182, at batch_size=256, rnn_size=400, embed_dim=200, keep_prob=1, num_layers=1
min_train_loss=0.414, at batch_size=256, rnn_size=400, embed_dim=300, keep_prob=0.7, num_layers=1
min_train_loss=0.272, at batch_size=256, rnn_size=400, embed_dim=300, keep_prob=0.8, num_layers=1
min_train_loss=0.192, at batch_size=256, rnn_size=400, embed_dim=300, keep_prob=0.9, num_layers=1
min_train_loss=0.182, at batch_size=256, rnn_size=400, embed_dim=300, keep_prob=1, num_layers=1
